group1,group2,N1,N2,low,high,width,obs_diff,zero_included
Male,Female,400,400,-0.015315044682645152,0.009291090792378028,0.02460613547502318,-0.0020375119161880617,True
Male,Unsure,50,50,-0.005257498996101839,0.1443947041928658,0.14965220318896763,0.0761227595933478,True
Female,Unsure,50,50,0.009325954437719802,0.15732412897559966,0.14799817453787986,0.08539771829477738,False
