group1,group2,N1,N2,low,high,width,obs_diff,zero_included
4,1,50,50,-0.04166740245049113,0.02641651816320925,0.06808392061370039,-0.0068122710622711136,True
4,2,50,50,-0.02793561503855698,0.0369881746521446,0.06492378969070159,0.004803067847185205,True
4,Unsure,50,50,0.01721681623115448,0.13271856693143436,0.11550175070027988,0.07793498984675451,False
4,3,50,50,-0.01565580073521236,0.06837892299693812,0.08403472373215048,0.029629156790921707,True
1,2,350,350,0.001211339401728389,0.028958440544050758,0.02774710114232237,0.0142098998107405,False
1,Unsure,50,50,0.027240426526088768,0.13768178843215592,0.11044136190606715,0.08474726090902562,False
1,3,100,100,-0.010865355151383982,0.0521721766999345,0.06303753185131848,0.01872889447154169,True
2,Unsure,50,50,0.01795013928065442,0.1274830194315494,0.10953288015089499,0.0731319219995693,False
2,3,100,100,-0.0337776368647688,0.02384302374504607,0.05762066060981487,-0.003692362376185754,True
Unsure,3,50,50,-0.10536504324923367,0.014914448296801414,0.12027949154603508,-0.0483058330558328,True
