group1,group2,low,high,obs_diff,zero_included,width
5.0_typical,6.0_typical,-0.06482769316474564,-0.024615978697976756,-0.04416027320234173,False,0.04021171446676888
5.0_typical,3.0_typical,-0.08524296849870727,-0.05694651201722488,-0.07134849063658544,False,0.028296456481482393
5.0_typical,2.0_typical,-0.085309961097348,-0.06017145664161834,-0.07289645947358925,False,0.025138504455729654
5.0_typical,4.0_typical,-0.07674462759205826,-0.043098080665156774,-0.05880883767415157,False,0.033646546926901486
5.0_typical,5.0_low,0.04817360803684807,0.08656269533816402,0.06769926580886598,False,0.03838908730131595
5.0_typical,4.0_low,0.04198796441466668,0.10592512374039664,0.07446607719161402,False,0.06393715932572996
5.0_typical,6.0_low,0.032695062532485816,0.09381033261854915,0.06293435126360314,False,0.061115270086063336
5.0_typical,3.0_low,0.027842780356336902,0.0704648450284002,0.05012332398843411,False,0.042622064672063295
5.0_typical,2.0_low,0.01494240567917058,0.05294056272571769,0.033936588488524544,False,0.03799815704654711
5.0_typical,1.0_low,-0.21458042381244424,0.30483461410443113,0.11952971668249801,True,0.5194150379168754
5.0_typical,1.0_typical,-0.12747283703042872,0.1717099264018241,0.030403156967703016,True,0.2991827634322528
5.0_typical,6.0_high,-0.037951778976283365,0.016101485490278115,-0.009703794903954788,True,0.05405326446656148
5.0_typical,5.0_high,0.036268395823935734,0.08179412473362907,0.05977837134941211,False,0.045525728909693336
5.0_typical,4.0_high,-0.0051556118642847384,0.05445651206256828,0.02591682598166345,True,0.05961212392685302
5.0_typical,3.0_high,0.027356068084660748,0.07921332139577694,0.054649110974868575,False,0.051857253311116194
5.0_typical,2.0_high,0.007062080976274733,0.050162788275334,0.028859891705527718,False,0.043100707299059265
5.0_typical,1.0_high,-0.08260852774751384,-0.01120204702250778,-0.04713694998416873,False,0.07140648072500606
6.0_typical,3.0_typical,-0.04807541366087166,-0.006690913656777785,-0.02718821743424371,False,0.041384500004093876
6.0_typical,2.0_typical,-0.049073514642534635,-0.00968040051282476,-0.02873618627124752,False,0.039393114129709875
6.0_typical,4.0_typical,-0.03828422629118647,0.008526461803084348,-0.014648564471809844,True,0.046810688094270816
6.0_typical,5.0_low,0.08756600447196475,0.134821200996278,0.11185953901120771,False,0.04725519652431326
6.0_typical,4.0_low,0.08020925667415871,0.15468785449120875,0.11862635039395575,False,0.07447859781705005
6.0_typical,6.0_low,0.07154551135479131,0.1432946466149556,0.10709462446594487,False,0.0717491352601643
6.0_typical,3.0_low,0.06676475251439767,0.11972452717768689,0.09428359719077584,False,0.052959774663289216
6.0_typical,2.0_low,0.05447407971647886,0.10165152662844174,0.07809686169086627,False,0.04717744691196288
6.0_typical,1.0_low,-0.1668998988484317,0.3543816988600966,0.16368998988483974,True,0.5212815977085283
6.0_typical,1.0_typical,-0.07651907069646394,0.21692465954184434,0.07456343017004474,True,0.2934437302383083
6.0_typical,6.0_high,0.0029438235205671848,0.06254761153198309,0.03445647829838694,False,0.0596037880114159
6.0_typical,5.0_high,0.07936760029217291,0.13030188097189183,0.10393864455175383,False,0.05093428067971892
6.0_typical,4.0_high,0.034573683657315626,0.10313142501224623,0.07007709918400518,False,0.0685577413549306
6.0_typical,3.0_high,0.06789428565361477,0.12893680239215752,0.0988093841772103,False,0.061042516738542746
6.0_typical,2.0_high,0.04592603730296882,0.09894988728153152,0.07302016490786944,False,0.0530238499785627
6.0_typical,1.0_high,-0.04389589169001147,0.038077889141764826,-0.0029766767818270035,True,0.0819737808317763
3.0_typical,2.0_typical,-0.01431319164413628,0.012361357909564245,-0.0015479688370038103,True,0.026674549553700525
3.0_typical,4.0_typical,-0.004287383501622895,0.0288930413254918,0.012539652962433867,True,0.033180424827114696
3.0_typical,5.0_low,0.12185618601843137,0.1580144510131222,0.13904775644545142,False,0.036158264994690825
3.0_typical,4.0_low,0.11126179367582822,0.17792447600380804,0.14581456782819946,False,0.06666268232797981
3.0_typical,6.0_low,0.10135121100497585,0.1631431392543565,0.13428284190018858,False,0.06179192824938065
3.0_typical,3.0_low,0.10044206981899104,0.14098011048605574,0.12147181462501955,False,0.040538040667064706
3.0_typical,2.0_low,0.08884188278027881,0.12340639948407431,0.10528507912510998,False,0.0345645167037955
3.0_typical,1.0_low,-0.13877451771541005,0.3855603037696725,0.19087820731908345,True,0.5243348214850825
3.0_typical,1.0_typical,-0.0530081325108791,0.236226793075059,0.10175164760428845,True,0.2892349255859381
3.0_typical,6.0_high,0.03607456229308327,0.08744377374167372,0.06164469573263065,False,0.051369211448590454
3.0_typical,5.0_high,0.10847472927521828,0.15293854194357226,0.13112686198599754,False,0.044463812668353975
3.0_typical,4.0_high,0.06391969791195981,0.12690235085223261,0.09726531661824889,False,0.0629826529402728
3.0_typical,3.0_high,0.09908459617204668,0.1541596205817408,0.125997601611454,False,0.05507502440969411
3.0_typical,2.0_high,0.07809833712851695,0.12119190734383142,0.10020838234211316,False,0.04309357021531447
3.0_typical,1.0_high,-0.011219695027781654,0.05826160774187435,0.024211540652416708,True,0.069481302769656
2.0_typical,4.0_typical,-0.0017727816589594332,0.031962191124855106,0.014087621799437677,True,0.03373497278381454
2.0_typical,5.0_low,0.12271553333669452,0.1576126555818803,0.14059572528245523,False,0.03489712224518579
2.0_typical,4.0_low,0.1137315797130968,0.1794336516034335,0.14736253666520327,False,0.0657020718903367
2.0_typical,6.0_low,0.10557468740385267,0.16527227617256213,0.1358308107371924,False,0.05969758876870945
2.0_typical,3.0_low,0.10213739136788033,0.14335687976169226,0.12301978346202336,False,0.041219488393811926
