group1,group2,low,high,obs_diff,zero_included,width
5.0_female,6.0_female,-0.06717308261470957,-0.009703211728498778,-0.03744478685109709,False,0.05746987088621079
5.0_female,3.0_female,-0.07581262531293273,-0.04038063683378407,-0.058086530527163505,False,0.03543198847914866
5.0_female,2.0_female,-0.09290987787653335,-0.059373092623220894,-0.07632146897623482,False,0.033536785253312454
5.0_female,4.0_female,-0.07069302236236558,-0.021312306209598328,-0.04529353379237433,False,0.04938071615276725
5.0_female,5.0_male,-0.021186528318500805,0.011037967452056114,-0.004837456909863924,True,0.032224495770556916
5.0_female,4.0_male,-0.08027651700168094,-0.04486512070973778,-0.06153858429692938,False,0.03541139629194316
5.0_female,6.0_male,-0.06315544720317003,-0.024270330220763234,-0.043624505151938386,False,0.03888511698240679
5.0_female,1.0_female,-0.10800090308918686,0.12109878751575422,0.012576570239456242,True,0.22909969060494106
5.0_female,2.0_male,-0.07625373514213084,-0.046323634924973545,-0.061425622337428876,False,0.029930100217157293
5.0_female,3.0_male,-0.08506529383966596,-0.053260063084599574,-0.06839664604325368,False,0.03180523075506639
6.0_female,3.0_female,-0.04959564634982212,0.010565564963294728,-0.020641743676066415,True,0.06016121131311685
6.0_female,2.0_female,-0.07045972608163001,-0.007223442528310933,-0.03887668212513773,False,0.06323628355331908
6.0_female,4.0_female,-0.0436396351396308,0.027890858379490333,-0.00784874694127724,True,0.07153049351912114
6.0_female,5.0_male,0.0010016444381502204,0.06348484264256243,0.032607329941233165,False,0.06248319820441221
6.0_female,4.0_male,-0.05541396011366065,0.005824053887212702,-0.024093797445832288,True,0.06123801400087335
6.0_female,6.0_male,-0.03941634930613405,0.027644656742124227,-0.006179718300841297,True,0.06706100604825828
6.0_female,1.0_female,-0.08477697095435766,0.16275132719062646,0.05002135709055333,True,0.24752829814498412
6.0_female,2.0_male,-0.05290530570691343,0.006992683391521086,-0.023980835486331786,True,0.059897989098434516
6.0_female,3.0_male,-0.06326757530394624,-0.0004900672369377163,-0.030951859192156594,False,0.06277750806700852
3.0_female,2.0_female,-0.03479714892435782,-0.0013394449642299203,-0.018234938449071314,False,0.0334577039601279
3.0_female,4.0_female,-0.01401175755698568,0.04094512887190435,0.012792996734789175,True,0.05495688642889003
3.0_female,5.0_male,0.035863049740222946,0.07000602330418838,0.05324907361729958,False,0.03414297356396544
3.0_female,4.0_male,-0.021813827685958284,0.016955997966575286,-0.0034520537697658726,True,0.03876982565253357
3.0_female,6.0_male,-0.006490921331561435,0.035010841743619334,0.014462025375225118,True,0.04150176307518077
3.0_female,1.0_female,-0.04524591004165321,0.1825312995263847,0.07066310076661975,True,0.2277772095680379
3.0_female,2.0_male,-0.01917168326168856,0.012049050267640946,-0.003339091810265371,True,0.031220733529329508
3.0_female,3.0_male,-0.026912293888065833,0.006273243375294994,-0.01031011551609018,True,0.03318553726336083
2.0_female,4.0_female,0.005590528299912967,0.05586347181811289,0.03102793518386049,False,0.05027294351819992
2.0_female,5.0_male,0.05577682864450728,0.0857147206374281,0.0714840120663709,False,0.029937891992920823
2.0_female,4.0_male,-0.004130301403471363,0.03344527960990071,0.014782884679305441,True,0.03757558101337207
2.0_female,6.0_male,0.01425994071317524,0.05330649905147694,0.03269696382429643,False,0.0390465583383017
2.0_female,1.0_female,-0.036212760180990566,0.19297722096531547,0.08889803921569106,True,0.22918998114630604
2.0_female,2.0_male,0.0011757552523258136,0.02913167750112664,0.014895846638805943,False,0.027955922248800825
2.0_female,3.0_male,-0.007428390260015273,0.023440123552646127,0.007924822932981135,True,0.0308685138126614
4.0_female,5.0_male,0.013471567481035729,0.06899850481998833,0.040456076882510406,False,0.0555269373389526
4.0_female,4.0_male,-0.04317565860554504,0.01146193533634634,-0.016245050504555048,True,0.05463759394189138
4.0_female,6.0_male,-0.026377540631569912,0.03034069326008796,0.0016690286404359433,True,0.05671823389165787
4.0_female,1.0_female,-0.05955681600268706,0.16956928064624063,0.05787010403183057,True,0.2291260966489277
4.0_female,2.0_male,-0.0404816141524152,0.010146840569045863,-0.016132088545054546,True,0.05062845472146106
4.0_female,3.0_male,-0.04726065480199221,0.004142053843276705,-0.023103112250879354,True,0.05140270864526891
5.0_male,4.0_male,-0.07365007785079936,-0.03979239060966104,-0.05670112738706545,False,0.033857687241138315
5.0_male,6.0_male,-0.05894026347546737,-0.02025467718432146,-0.03878704824207446,False,0.03868558629114591
5.0_male,1.0_female,-0.09720635861368077,0.1285148583513663,0.017414027149320166,True,0.22572121696504707
5.0_male,2.0_male,-0.06942116076468782,-0.043123552534960724,-0.05658816542756495,False,0.0262976082297271
5.0_male,3.0_male,-0.0778858048871303,-0.048739240841416134,-0.06355918913338976,False,0.02914656404571417
4.0_male,6.0_male,-0.001782084302651088,0.03748720609811015,0.01791407914499099,True,0.039269290400761235
4.0_male,1.0_female,-0.04746648942063186,0.18418172565635976,0.07411515453638562,True,0.23164821507699163
4.0_male,2.0_male,-0.015763687857836474,0.016880652716413005,0.00011296195950050159,True,0.032644340574249475
4.0_male,3.0_male,-0.02326735082432496,0.011483607637162059,-0.0068580617463243065,True,0.03475095846148702
6.0_male,1.0_female,-0.06638117020063922,0.16332612526599616,0.05620107539139463,True,0.22970729546663538
6.0_male,2.0_male,-0.037005291532337295,0.0020346364311957035,-0.01780111718549049,True,0.039039927963533
6.0_male,3.0_male,-0.04273887450535332,-0.004149847105405113,-0.024772140891315297,False,0.038589027399948204
1.0_female,2.0_male,-0.18069567502907768,0.04373478925472987,-0.07400219257688512,True,0.22443046428380756
1.0_female,3.0_male,-0.18827560016401712,0.04984751849884747,-0.08097321628270993,True,0.2381231186628646
2.0_male,3.0_male,-0.02152509121913716,0.006708435982312796,-0.006971023705824808,True,0.028233527201449955
