group1,group2,low,high,obs_diff,zero_included,width
typical,low,0.09508154486513046,0.11546128067704658,0.10532547950297821,False,0.020379735811916128
typical,high,0.07912203543736997,0.10355123087054321,0.09101421521751085,False,0.024429195433173248
low,high,-0.028665960429577014,-0.00035868972062484336,-0.014311264285467362,False,0.02830727070895217
