group1,group2,low,high,obs_diff,zero_included,width
5.0,6.0,-0.0552999647490459,-0.022068711497104078,-0.039421155151817655,False,0.033231253251941824
5.0,3.0,-0.07361414840496223,-0.049364287686879546,-0.06097639075314376,False,0.02424986071808269
5.0,2.0,-0.07786098459257598,-0.0565668051659589,-0.06701563780710895,False,0.021294179426617085
5.0,4.0,-0.06836856633351682,-0.03889887499546281,-0.05335434427549757,False,0.029469691338054008
5.0,1.0,-0.10343064848527508,0.11722699008029161,0.014812533039437747,True,0.2206576385655667
6.0,3.0,-0.03754152057140388,-0.004423524381314381,-0.021555235601326106,False,0.033117996190089496
6.0,2.0,-0.04288569908794698,-0.012521174227593836,-0.027594482655291297,False,0.030364524860353147
6.0,4.0,-0.03286966618446707,0.00412267531088336,-0.013933189123679912,True,0.03699234149535043
6.0,1.0,-0.0684602776051024,0.1581308684305892,0.0542336881912554,True,0.2265911460356916
3.0,2.0,-0.017362720812542844,0.004979762057825708,-0.006039247053965191,True,0.022342482870368552
3.0,4.0,-0.00747316528100242,0.022666253322224057,0.007622046477646194,True,0.030139418603226477
3.0,1.0,-0.050125980507989,0.1859627482254731,0.07578892379258151,True,0.2360887287334621
2.0,4.0,-0.0007441518143058885,0.02718989574968957,0.013661293531611385,True,0.027934047563995458
2.0,1.0,-0.03801034021258479,0.1883905797173,0.0818281708465467,True,0.2264009199298848
4.0,1.0,-0.05741426505696634,0.174940755174045,0.06816687731493531,True,0.23235502023101134
