group1,group2,N1,N2,low,high,width,obs_diff,zero_included
5.0_typical,6.0_typical,1620,504,-0.0642323015507167,-0.024032523414150853,0.04019977813656585,-0.04416027320234173,False
5.0_typical,3.0_typical,1620,1549,-0.08532752817687372,-0.05622729280767785,0.02910023536919587,-0.07134849063658544,False
5.0_typical,2.0_typical,1620,2254,-0.0859444674593515,-0.05929917707152761,0.026645290387823886,-0.07289645947358925,False
5.0_typical,4.0_typical,1620,845,-0.07627378360987952,-0.04190564591630967,0.03436813769356985,-0.05880883767415157,False
5.0_typical,5.0_low,1620,551,0.04769525086648109,0.08638479183359823,0.038689540967117145,0.06769926580886598,False
5.0_typical,4.0_low,1620,171,0.03869892743422608,0.10634120810474074,0.06764228067051466,0.07446607719161402,False
5.0_typical,6.0_low,1620,165,0.027744931455924784,0.09441795465866759,0.0666730232027428,0.06293435126360314,False
5.0_typical,3.0_low,1620,365,0.029978960911732758,0.07201125505507881,0.042032294143346055,0.05012332398843411,False
5.0_typical,2.0_low,1620,541,0.014216645690373828,0.05289117766645755,0.038674531976083726,0.033936588488524544,False
5.0_typical,1.0_low,1620,3,-0.2073374817282035,0.3117319400219775,0.519069421750181,0.11952971668249801,True
5.0_typical,1.0_typical,1620,11,-0.12368697226580674,0.17420054079000855,0.2978875130558153,0.030403156967703016,True
5.0_typical,6.0_high,1620,88,-0.03568712123327647,0.015661099272010724,0.051348220505287194,-0.009703794903954788,True
5.0_typical,5.0_high,1620,317,0.0370099378219475,0.08038561189644136,0.04337567407449386,0.05977837134941211,False
5.0_typical,4.0_high,1620,101,-0.005987851865926007,0.05679126466018919,0.0627791165261152,0.02591682598166345,True
5.0_typical,3.0_high,1620,202,0.028235513195932274,0.07933390690649111,0.05109839371055884,0.054649110974868575,False
5.0_typical,2.0_high,1620,298,0.007058246341006012,0.04999497656379505,0.04293673022278904,0.028859891705527718,False
5.0_typical,1.0_high,1620,2,-0.08310689521534545,-0.01078238762266144,0.07232450759268401,-0.04713694998416873,False
6.0_typical,3.0_typical,504,1549,-0.04820654720715451,-0.0054941787222193145,0.0427123684849352,-0.02718821743424371,False
6.0_typical,2.0_typical,504,2254,-0.0484692977664955,-0.008084029708837925,0.040385268057657575,-0.02873618627124752,False
6.0_typical,4.0_typical,504,845,-0.03847802492750509,0.010955564211224886,0.04943358913872998,-0.014648564471809844,True
6.0_typical,5.0_low,504,551,0.0878117027588412,0.1352734868145671,0.0474617840557259,0.11185953901120771,False
6.0_typical,4.0_low,504,171,0.08223938369207018,0.15355181253787734,0.07131242884580716,0.11862635039395575,False
6.0_typical,6.0_low,504,165,0.07135169092889362,0.14318791579131263,0.071836224862419,0.10709462446594487,False
6.0_typical,3.0_low,504,365,0.06869593363886385,0.12277031931493837,0.05407438567607452,0.09428359719077584,False
6.0_typical,2.0_low,504,541,0.053237500740694624,0.0998551867444186,0.04661768600372397,0.07809686169086627,False
6.0_typical,1.0_low,504,3,-0.16198857668067518,0.35367790518985054,0.5156664818705257,0.16368998988483974,True
6.0_typical,1.0_typical,504,11,-0.07031426838412416,0.21220829288154391,0.2825225612656681,0.07456343017004474,True
6.0_typical,6.0_high,504,88,0.00395899316165621,0.06460618748761758,0.06064719432596137,0.03445647829838694,False
6.0_typical,5.0_high,504,317,0.0778116215433306,0.12911526531178288,0.051303643768452284,0.10393864455175383,False
6.0_typical,4.0_high,504,101,0.03680061160877719,0.10274442298921549,0.0659438113804383,0.07007709918400518,False
6.0_typical,3.0_high,504,202,0.06612901606599453,0.13052277241685656,0.06439375635086203,0.0988093841772103,False
6.0_typical,2.0_high,504,298,0.04604492010030932,0.09811870478989274,0.052073784689583416,0.07302016490786944,False
6.0_typical,1.0_high,504,2,-0.04167560253268251,0.03823974381418974,0.07991534634687225,-0.0029766767818270035,True
3.0_typical,2.0_typical,1549,2254,-0.015486582770699225,0.010249698052112982,0.025736280822812208,-0.0015479688370038103,True
3.0_typical,4.0_typical,1549,845,-0.005413527245970412,0.030727569991721784,0.036141097237692196,0.012539652962433867,True
3.0_typical,5.0_low,1549,551,0.11897082547956855,0.15907565956175745,0.0401048340821889,0.13904775644545142,False
3.0_typical,4.0_low,1549,171,0.11135687135613634,0.1765001790912113,0.06514330773507496,0.14581456782819946,False
3.0_typical,6.0_low,1549,165,0.10351799224443925,0.16510652285299776,0.06158853060855851,0.13428284190018858,False
3.0_typical,3.0_low,1549,365,0.10147211840465947,0.14304578000337415,0.04157366159871467,0.12147181462501955,False
3.0_typical,2.0_low,1549,541,0.08625100468644034,0.12242671569096,0.03617571100451966,0.10528507912510998,False
3.0_typical,1.0_low,1549,3,-0.1386581040582745,0.3843733939670162,0.5230314980252907,0.19087820731908345,True
3.0_typical,1.0_typical,1549,11,-0.05683382247933638,0.23913757251242862,0.295971394991765,0.10175164760428845,True
3.0_typical,6.0_high,1549,88,0.03591661365966989,0.0868409935281145,0.050924379868444614,0.06164469573263065,False
3.0_typical,5.0_high,1549,317,0.10853723045320673,0.15228205855828708,0.04374482810508035,0.13112686198599754,False
3.0_typical,4.0_high,1549,101,0.06266917649760093,0.12828464792730504,0.06561547142970411,0.09726531661824889,False
