group1,group2,N1,N2,frac,pi_low,pi_high
6.0_typical,1.0_low,28,29,9.5,0.42,1.0
6.0_typical,1.0_typical,15,7,1.0,0.9,0.98
6.0_typical,1.0_typical,20,13,1.5,0.82,0.99
6.0_typical,1.0_typical,25,19,2.0,0.74,1.0
6.0_typical,1.0_typical,28,27,2.5,0.67,1.0
6.0_typical,1.0_typical,34,32,3.0,0.61,1.0
6.0_typical,1.0_typical,39,38,3.5,0.58,1.0
6.0_typical,1.0_typical,45,43,4.0,0.55,1.0
6.0_typical,1.0_typical,52,47,4.5,0.47,1.0
6.0_typical,1.0_typical,60,50,5.0,0.43,1.0
6.0_typical,1.0_typical,64,57,5.5,0.41,1.0
6.0_typical,1.0_typical,72,60,6.0,0.32,1.0
6.0_typical,1.0_typical,79,64,6.5,0.34,1.0
6.0_typical,1.0_typical,86,68,7.0,0.24,1.0
6.0_typical,1.0_typical,90,75,7.5,0.23,1.0
6.0_typical,1.0_typical,96,80,8.0,0.19,1.0
6.0_typical,1.0_typical,101,86,8.5,0.17,1.0
6.0_typical,1.0_typical,107,91,9.0,0.15,1.0
6.0_typical,1.0_typical,116,93,9.5,0.18,1.0
6.0_typical,1.0_high,3,1,1.0,-0.01,-0.01
6.0_typical,1.0_high,5,1,1.5,-0.01,-0.01
6.0_typical,1.0_high,6,2,2.0,0.06,-0.01
6.0_typical,1.0_high,8,2,2.5,0.18,-0.01
6.0_typical,1.0_high,9,3,3.0,0.18,-0.01
6.0_typical,1.0_high,9,5,3.5,1.0,0.0
6.0_typical,1.0_high,10,6,4.0,1.0,0.0
6.0_typical,1.0_high,12,6,4.5,1.0,0.0
6.0_typical,1.0_high,13,7,5.0,1.0,0.0
6.0_typical,1.0_high,13,9,5.5,1.0,0.0
6.0_typical,1.0_high,14,10,6.0,1.0,0.0
6.0_typical,1.0_high,15,11,6.5,1.0,0.0
6.0_typical,1.0_high,17,11,7.0,1.0,0.0
6.0_typical,1.0_high,19,11,7.5,1.0,0.0
6.0_typical,1.0_high,20,12,8.0,1.0,0.0
6.0_typical,1.0_high,20,14,8.5,1.0,0.0
6.0_typical,1.0_high,20,16,9.0,1.0,0.0
6.0_typical,1.0_high,20,18,9.5,1.0,0.0
3.0_typical,2.0_typical,1519,1579,1.0,0.62,0.83
3.0_typical,2.0_typical,2297,2350,1.5,0.43,0.76
3.0_typical,2.0_typical,3062,3134,2.0,0.32,0.67
3.0_typical,2.0_typical,3791,3954,2.5,0.3,0.62
3.0_typical,2.0_typical,4529,4765,3.0,0.19,0.57
3.0_typical,2.0_typical,5301,5542,3.5,0.14,0.5
3.0_typical,2.0_typical,6145,6247,4.0,0.09,0.45
3.0_typical,2.0_typical,6918,7023,4.5,0.04,0.4
3.0_typical,2.0_typical,7712,7778,5.0,0.02,0.35
3.0_typical,2.0_typical,8500,8539,5.5,0.02,0.26
3.0_typical,2.0_typical,9285,9303,6.0,0.01,0.18
3.0_typical,2.0_typical,10057,10080,6.5,0.01,0.16
3.0_typical,2.0_typical,10864,10822,7.0,0.01,0.15
3.0_typical,2.0_typical,11632,11603,7.5,0.0,0.17
3.0_typical,2.0_typical,12423,12361,8.0,0.0,0.12
3.0_typical,2.0_typical,13212,13121,8.5,0.0,0.09
