group1,group2,N1,N2,low,high,width,obs_diff,zero_included
typical_female,low_female,850,850,0.0678389850057694,0.11105033160323045,0.04321134659746105,0.08911966551326544,False
typical_female,low_male,900,900,0.07409106753812678,0.11300178376906549,0.03891071623093871,0.0938948801742936,False
typical_female,typical_male,3250,3250,-0.007000662489839391,0.012939523001519692,0.019940185491359085,0.002765889314313319,True
typical_female,high_male,500,500,0.06257172794117442,0.10663313725489963,0.04406140931372521,0.08421421568627274,False
typical_female,high_female,500,500,0.076630330882351,0.13022297794117332,0.05359264705882233,0.10243382352940955,False
low_female,low_male,850,850,-0.015025677623991419,0.02292951989619416,0.03795519752018558,0.004222318339100695,True
low_female,typical_male,850,850,-0.12238097218525784,-0.08488131155177256,0.03749966063348528,-0.10366305119333008,False
low_female,high_male,500,500,-0.045447450980392656,-0.0029862745098058127,0.042461176470586844,-0.024094117647059043,False
low_female,high_female,500,500,-0.031643137254903045,0.019192156862743136,0.05083529411764618,-0.005874509803922234,True
low_male,typical_male,900,900,-0.12684102983074041,-0.09380100134070998,0.03304002849003043,-0.10980023462376698,False
low_male,high_male,500,500,-0.04271230392156612,-0.005324117647058722,0.0373881862745074,-0.024249019607842537,False
low_male,high_female,500,500,-0.029117647058822596,0.016796323529411645,0.04591397058823424,-0.006029411764705728,True
typical_male,high_male,500,500,0.06839705882352774,0.10796921568627278,0.03957215686274504,0.08901176470588013,False
typical_male,high_female,500,500,0.08389745098038845,0.13026176470587822,0.04636431372548977,0.10723137254901693,False
high_male,high_female,500,500,-0.0024892156862745887,0.0389735294117631,0.04146274509803769,0.01821960784313681,True
