group1,group2,N1,N2,low,high,width,obs_diff,zero_included
5.0,6.0,750,750,-0.060529640522875294,-0.018561078431371864,0.04196856209150343,-0.03932908496732013,False
5.0,3.0,2100,2100,-0.07095773225957079,-0.04648326150973568,0.02447447074983511,-0.05849560978237489,False
5.0,2.0,2450,2450,-0.0786115979083947,-0.05592205747683708,0.022689540431557617,-0.06715376919998906,False
5.0,4.0,1100,1100,-0.06819781639928968,-0.03477277183600899,0.03342504456328069,-0.051088235294119655,False
6.0,3.0,750,750,-0.040102222222224856,0.0006030147058797702,0.04070523692810463,-0.019329084967321664,True
6.0,2.0,750,750,-0.049814456385120554,-0.009994037833082864,0.03982041855203769,-0.029984062342886975,False
6.0,4.0,750,750,-0.031603562091506214,0.010170049019606164,0.04177361111111238,-0.011052614379086334,True
3.0,2.0,2100,2100,-0.019879450369888356,0.005063114989588918,0.024942565359477274,-0.007302314515549413,True
3.0,4.0,1100,1100,-0.008429450757573839,0.026178041443851552,0.034607492201425394,0.009147504456328726,True
2.0,4.0,1100,1100,-0.0016260390957096166,0.031519939068283355,0.03314597816399297,0.015153794734676262,True
