group1,group2,N1,N2,low,high,width,obs_diff,zero_included
5.0_female,6.0_female,200,200,-0.07351225490196005,0.011840196078431967,0.08535245098039201,-0.03115686274509777,True
5.0_female,3.0_female,1050,1050,-0.07872510504201799,-0.04114168417366852,0.03758342086834947,-0.06010994397759195,False
5.0_female,2.0_female,1300,1300,-0.09364893476621541,-0.05910177224736175,0.03454716251885366,-0.0760388386123696,False
5.0_female,4.0_female,400,400,-0.06895523897058717,-0.0015610294117651552,0.06739420955882201,-0.03582598039215645,False
5.0_female,5.0_male,1150,1150,-0.02342731654534698,0.00883574373729562,0.0322630602826426,-0.0072443766804379806,True
5.0_female,4.0_male,700,700,-0.07107037815125725,-0.03230605742296702,0.038764320728290225,-0.05167927170868214,False
5.0_female,6.0_male,500,500,-0.06605205882352924,-0.015051691176470067,0.051000367647059175,-0.04022696078431309,False
5.0_female,2.0_male,1300,1300,-0.07585096117589064,-0.044297588539852814,0.03155337263603783,-0.05993508527671543,False
5.0_female,3.0_male,1050,1050,-0.08821261087768453,-0.05258395774976747,0.03562865312791706,-0.07054248366013216,False
6.0_female,3.0_female,200,200,-0.03710637254902033,0.0520509803921558,0.08915735294117613,0.004666666666666264,True
6.0_female,2.0_female,200,200,-0.061783088235293666,0.035900275735293447,0.0976833639705871,-0.014136029411764506,True
6.0_female,4.0_female,200,200,-0.04000735294117638,0.05264705882352872,0.0926544117647051,0.007058823529411673,True
6.0_female,5.0_male,200,200,-0.004485294117647115,0.07126862745097985,0.07575392156862697,0.033843137254901734,True
6.0_female,4.0_male,200,200,-0.05160171568627418,0.029110294117647102,0.08071200980392129,-0.011205882352941066,True
6.0_female,6.0_male,200,200,-0.04151666666666639,0.043812745098038515,0.0853294117647049,0.00033333333333296356,True
6.0_female,2.0_male,200,200,-0.05987745098039066,0.018691237745099065,0.07856868872548972,-0.020791666666666098,True
6.0_female,3.0_male,200,200,-0.0876480392156864,-0.014403431372550221,0.07324460784313618,-0.054098039215686455,False
3.0_female,2.0_female,1050,1050,-0.030481290849674054,0.006137750933705291,0.036619041783379346,-0.0120838001867416,True
3.0_female,4.0_female,400,400,-0.025688725490195893,0.04285661764705845,0.06854534313725434,0.010049019607843435,True
3.0_female,5.0_male,1050,1050,0.03389154277095513,0.06765169683258099,0.03376015406162586,0.05088711125475964,False
3.0_female,4.0_male,700,700,-0.01945623249299545,0.023119634103643746,0.0425758665966392,0.0009485294117659304,True
3.0_female,6.0_male,500,500,-0.007631274509802381,0.04348748774509958,0.05111876225490196,0.016708333333333658,True
3.0_female,2.0_male,1050,1050,-0.021759611344537744,0.013135060690941863,0.03489467203547961,-0.0039619514472455375,True
3.0_female,3.0_male,1050,1050,-0.028095471521942875,0.006439297385620872,0.03453476890756375,-0.01043253968254021,True
2.0_female,4.0_female,400,400,-0.011897686887254712,0.057412254901960336,0.06930994178921504,0.022754289215685564,True
2.0_female,5.0_male,1150,1150,0.05217238261525499,0.0858189332087383,0.033646550593483315,0.06849262246704857,False
2.0_female,4.0_male,700,700,-0.010273258053219582,0.03282892156862788,0.04310217962184746,0.010198529411765689,True
2.0_female,6.0_male,500,500,-0.003734571078430511,0.048253075980391975,0.051987647058822486,0.021107843137254556,True
2.0_female,2.0_male,1450,1450,0.0010988213189799256,0.030122802894368313,0.029023981575388387,0.015846907993967374,False
2.0_female,3.0_male,1050,1050,-0.015984757236227404,0.018890400326798056,0.03487515756302546,0.0016512605042013906,True
4.0_female,5.0_male,400,400,0.007184068627450205,0.06372892156862608,0.05654485294117588,0.034558823529410754,False
4.0_female,4.0_male,400,400,-0.046110416666663934,0.012774264705883116,0.05888468137254705,-0.017455882352940155,True
4.0_female,6.0_male,400,400,-0.030802879901960258,0.028458930759802614,0.05926181066176287,-0.0012224264705887888,True
4.0_female,2.0_male,400,400,-0.04113137254901944,0.01749246323529293,0.05862383578431237,-0.011150735294117697,True
4.0_female,3.0_male,400,400,-0.06418685661764645,-0.007924846813725142,0.056262009803921306,-0.038450980392156,False
5.0_male,4.0_male,700,700,-0.07068129174746746,-0.03318525102348585,0.037496040723981605,-0.05175888817065277,False
5.0_male,6.0_male,500,500,-0.059229583333332225,-0.017666899509802762,0.04156268382352946,-0.0382799019607839,False
5.0_male,2.0_male,1150,1150,-0.07251283772706667,-0.043013047576890465,0.029499790150176203,-0.057834054692112336,False
5.0_male,3.0_male,1050,1050,-0.07566664197730513,-0.046162784601021786,0.029503857376283346,-0.06131965093729985,False
4.0_male,6.0_male,500,500,-0.0021825367647064706,0.04369040441176435,0.04587294117647082,0.02039852941176379,True
4.0_male,2.0_male,700,700,-0.014052643557423205,0.02229604341736649,0.0363486869747897,0.004331232492997272,True
4.0_male,3.0_male,700,700,-0.02993577556022257,0.009020124299720267,0.03895589985994284,-0.009972338935574032,True
6.0_male,2.0_male,500,500,-0.03240093137254833,0.008868676470588616,0.04126960784313695,-0.011707352941176086,True
6.0_male,3.0_male,500,500,-0.04851493872548964,-0.0039257230392165735,0.04458921568627307,-0.025881372549018566,False
2.0_male,3.0_male,1050,1050,-0.020818738328665536,0.008094012605041064,0.0289127509337066,-0.006470588235294672,True
