group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
3.0_typical,2.0_typical,5250,5250,3.5,0.52,0.12,,,,-0.009101848021253196,0.006474100858303135,-0.0014405659699711082
3.0_typical,2.0_typical,6000,6000,4.0,0.42,0.1,,,,-0.009477723651955438,0.0059943812060174895,-0.0018111079688222231
3.0_typical,2.0_typical,6750,6750,4.5,0.36,0.09,,,,-0.007360836405784373,0.006791336866661984,-0.0004391207195086899
3.0_typical,2.0_typical,7500,7500,5.0,0.31,0.05,,,,-0.008904376445445677,0.003938499622935229,-0.0024054047259892686
3.0_typical,4.0_typical,800,800,1.0,0.68,0.97,,,,-0.013926845894606743,0.02379920343137365,0.0048486519607851
3.0_typical,4.0_typical,1200,1200,1.5,0.49,0.93,,,,-0.0023617544934636317,0.029310671977125655,0.01379942810457535
3.0_typical,4.0_typical,1600,1600,2.0,0.36,0.93,,,,-0.0008243298100498002,0.027143064491422224,0.012924785539216166
3.0_typical,4.0_typical,2000,2000,2.5,0.29,0.93,,,,-0.008610021446079082,0.01765399509804262,0.00445171568627567
3.0_typical,4.0_typical,2400,2400,3.0,0.2,0.93,,,,-0.009080394709963687,0.013867335580067629,0.002660845588237315
3.0_typical,4.0_typical,2800,2800,3.5,0.12,0.93,,,,-0.007171763392856445,0.015029827556024694,0.0038878676470600615
3.0_typical,4.0_typical,3200,3200,4.0,0.09,0.91,,,,-0.004216867723647008,0.015553410309441323,0.0055533088235324435
3.0_typical,4.0_typical,3600,3600,4.5,0.08,0.9,,,,-0.00429668436818369,0.014314287173213347,0.004829656862750609
3.0_typical,4.0_typical,4000,4000,5.0,0.06,0.9,,,,-0.0054854304534252656,0.012917072610299691,0.003306372549025216
3.0_typical,6.0_high,50,50,1.0,0.62,1.0,,,,0.03408823529411739,0.1541176470588227,0.09176470588235253
3.0_typical,6.0_high,75,75,1.5,0.42,1.0,,,,0.036862745098038885,0.14666666666666572,0.09019607843137212
3.0_typical,6.0_high,100,100,2.0,0.36,1.0,,,,0.027044117647059315,0.11648529411764746,0.07117647058823551
3.0_typical,6.0_high,125,125,2.5,0.28,1.0,,,,0.0272941176470598,0.10449411764706054,0.06494117647058906
3.0_typical,6.0_high,150,150,3.0,0.25,1.0,,,,0.018431372549020816,0.09216666666666778,0.054509803921569566
3.0_typical,6.0_high,175,175,3.5,0.23,1.0,,,,0.025193277310925077,0.09211764705882403,0.05714285714285783
3.0_typical,6.0_high,200,200,4.0,0.13,1.0,,,,0.019669117647058587,0.0808897058823532,0.049705882352941266
3.0_typical,6.0_high,225,225,4.5,0.1,1.0,,,,0.017771241830066037,0.08053594771241851,0.04732026143790835
3.0_typical,6.0_high,250,250,5.0,0.07,1.0,,,,0.019758823529411856,0.07600588235294016,0.04564705882352915
2.0_typical,4.0_typical,800,800,1.0,0.18,1.0,,,,-0.011495465686275266,0.02769987745098051,0.008246323529411237
2.0_typical,4.0_typical,1200,1200,1.5,0.07,1.0,,,,0.003599489379083942,0.03561811683006447,0.018611928104574127
2.0_typical,4.0_typical,1600,1600,2.0,0.02,1.0,,,,0.007894822303921037,0.035556295955881,0.021804534313724866
2.0_typical,4.0_typical,2000,2000,2.5,0.0,1.0,,,,0.005355821078431713,0.02957462009804322,0.017423039215687552
2.0_typical,4.0_typical,2400,2400,3.0,0.0,1.0,,,,0.005749305555557499,0.029921905637258585,0.017280228758173033
2.0_typical,4.0_typical,2800,2800,3.5,0.0,1.0,,,,0.004700805322131487,0.02646485469188143,0.01570273109244047
2.0_typical,4.0_typical,3200,3200,4.0,0.0,1.0,,,,0.008973406862746874,0.028250390625004028,0.018057598039218026
2.0_typical,4.0_typical,3600,3600,4.5,0.0,1.0,,,,0.008033251633986858,0.027264665032684224,0.01762636165577569
2.0_typical,4.0_typical,4000,4000,5.0,0.0,1.0,,,,0.006057910539220578,0.023710582107850434,0.01524215686274799
2.0_typical,6.0_high,50,50,1.0,0.4,1.0,,,,0.0399999999999987,0.16705882352941015,0.10117647058823442
2.0_typical,6.0_high,75,75,1.5,0.34,1.0,,,,0.07137254901960699,0.16392156862744978,0.11607843137254836
2.0_typical,6.0_high,100,100,2.0,0.24,1.0,,,,0.08235294117646963,0.1570588235294107,0.11823529411764633
2.0_typical,6.0_high,125,125,2.5,0.17,1.0,,,,0.056470588235293606,0.13694117647058746,0.09694117647058775
2.0_typical,6.0_high,150,150,3.0,0.09,1.0,,,,0.0650882352941172,0.13412745098039164,0.09882352941176442
2.0_typical,6.0_high,175,175,3.5,0.05,1.0,,,,0.045714285714285915,0.12035294117647038,0.08067226890756263
2.0_typical,6.0_high,200,200,4.0,0.04,1.0,,,,0.0464705882352926,0.11382352941176332,0.07911764705882263
2.0_typical,6.0_high,225,225,4.5,0.02,1.0,,,,0.04235294117646969,0.10692810457516234,0.07503267973856098
2.0_typical,6.0_high,250,250,5.0,0.02,1.0,,,,0.04846470588235188,0.10447058823529266,0.07576470588235173
4.0_typical,6.0_high,50,50,1.0,0.54,1.0,,,,-0.03301960784313751,0.09304901960784287,0.0293333333333331
4.0_typical,6.0_high,75,75,1.5,0.36,1.0,,,,-0.011084967320261888,0.07766405228758079,0.03367320261437867
4.0_typical,6.0_high,100,100,2.0,0.35,1.0,,,,-0.026588235294117357,0.05530686274509834,0.013411764705882456
4.0_typical,6.0_high,125,125,2.5,0.24,1.0,,,,-0.03736470588235164,0.04034509803921606,0.0012862745098044526
4.0_typical,6.0_high,150,150,3.0,0.13,1.0,,,,-0.01982418300653497,0.04967385620915124,0.015189542483660778
4.0_typical,6.0_high,175,175,3.5,0.09,1.0,,,,-0.014476190476189983,0.048965266106442806,0.01705322128851583
4.0_typical,6.0_high,200,200,4.0,0.06,1.0,,,,-0.015124509803921597,0.04166715686274429,0.011392156862744973
4.0_typical,6.0_high,225,225,4.5,0.05,1.0,,,,-0.014019172113289062,0.04255860566448826,0.013507625272330848
4.0_typical,6.0_high,250,250,5.0,0.05,1.0,,,,-0.013965882352941383,0.039655686274510056,0.013333333333333086
5.0_low,4.0_low,150,150,1.0,0.89,0.97,,,,-0.039950980392157165,0.0623094362745091,0.011593137254901742
5.0_low,4.0_low,225,225,1.5,0.83,0.96,,,,-0.034739379084967666,0.0487941176470585,0.006160130718953938
5.0_low,4.0_low,300,300,2.0,0.79,0.96,,,,-0.04115196078431395,0.031092830882352304,-0.003811274509804452
5.0_low,4.0_low,375,375,2.5,0.77,0.99,,,,-0.03740931372549017,0.02756617647058799,-0.003588235294118225
