group1,group2,N1,N2,low,high,width,obs_diff,zero_included
4.0_low,6.0_low,150,150,-0.055598039215686325,0.03788235294117676,0.09348039215686309,-0.009313725490196045,True
4.0_low,3.0_low,150,150,-0.07176470588235251,0.018049019607843275,0.08981372549019578,-0.027450980392156654,True
4.0_low,2.0_low,150,150,-0.08823529411764686,0.004323529411764435,0.09255882352941129,-0.04352941176470593,True
4.0_low,6.0_high,50,50,-0.1412058823529414,-0.03294117647058814,0.10826470588235326,-0.08823529411764708,False
4.0_low,5.0_high,150,150,-0.06432352941176495,0.017647058823529134,0.08197058823529407,-0.021960784313725612,True
4.0_low,4.0_high,100,100,-0.12244509803921609,-0.01949019607843161,0.10295490196078448,-0.07062745098039225,False
4.0_low,3.0_high,150,150,-0.06549411764705866,0.023718300653595023,0.08921241830065368,-0.019398692810457474,True
4.0_low,2.0_high,150,150,-0.08628431372549021,0.00040196078431391224,0.08668627450980412,-0.044313725490195854,True
6.0_low,3.0_low,150,150,-0.06275980392156827,0.018627450980391994,0.08138725490196026,-0.01813725490196061,True
6.0_low,2.0_low,150,150,-0.0762818627450987,0.012752450980391766,0.08903431372549046,-0.03421568627450988,True
6.0_low,6.0_high,50,50,-0.1411911764705883,-0.022639705882353228,0.11855147058823506,-0.08264705882352952,False
6.0_low,5.0_high,150,150,-0.050686274509803904,0.026767156862744522,0.07745343137254843,-0.012647058823529567,True
6.0_low,4.0_high,100,100,-0.09728504901960837,0.0008568627450977612,0.09814191176470613,-0.04724509803921584,True
6.0_low,3.0_high,150,150,-0.05291748366013045,0.031475326797385794,0.08439281045751625,-0.010084967320261429,True
6.0_low,2.0_high,150,150,-0.07715931372549019,0.008041666666666475,0.08520098039215666,-0.03499999999999981,True
3.0_low,2.0_low,350,350,-0.0512198879551825,0.005430252100839854,0.056650140056022355,-0.022666666666666724,True
3.0_low,6.0_high,50,50,-0.1658823529411768,-0.03644117647058842,0.1294411764705884,-0.10235294117647076,False
3.0_low,5.0_high,300,300,-0.023596405228758284,0.03366339869280964,0.057259803921567924,0.004444444444444029,True
3.0_low,4.0_high,100,100,-0.09538627450980473,0.004040196078430494,0.09942647058823523,-0.04709803921568667,True
3.0_low,3.0_high,200,200,-0.039713235294117834,0.03325833333333341,0.07297156862745124,-0.00337254901960804,True
3.0_low,2.0_high,250,250,-0.05812352941176576,0.00635882352941039,0.06448235294117616,-0.027294117647059246,True
2.0_low,6.0_high,50,50,-0.10002941176470594,0.021176470588234908,0.12120588235294084,-0.040000000000000036,True
2.0_low,5.0_high,300,300,-0.0050359477124185675,0.05380718954248404,0.05884313725490261,0.024444444444444047,True
2.0_low,4.0_high,100,100,-0.0518558823529414,0.04760784313725441,0.0994637254901958,-0.0023921568627450762,True
2.0_low,3.0_high,200,200,-0.01146960784313647,0.06163137254901969,0.07310098039215615,0.025745098039215875,True
2.0_low,2.0_high,250,250,-0.03576470588235327,0.028952941176471125,0.06471764705882439,-0.004941176470588227,True
6.0_high,5.0_high,50,50,0.025882352941176023,0.13529411764705868,0.10941176470588265,0.07999999999999985,False
6.0_high,4.0_high,50,50,-0.020156862745098328,0.07866862745097983,0.09882549019607816,0.030509803921568435,True
6.0_high,3.0_high,50,50,0.07408823529411745,0.18470588235294072,0.11061764705882327,0.13058823529411767,False
6.0_high,2.0_high,50,50,-0.022352941176470575,0.10120588235294138,0.12355882352941196,0.04352941176470593,True
5.0_high,4.0_high,100,100,-0.06183137254901993,0.028812745098038613,0.09064411764705854,-0.016509803921568755,True
5.0_high,3.0_high,200,200,-0.04763137254901879,0.021321568627451937,0.06895294117647072,-0.012490196078431048,True
5.0_high,2.0_high,250,250,-0.0683215686274509,-0.007292156862745286,0.06102941176470561,-0.039215686274509665,False
4.0_high,3.0_high,100,100,0.006530392156863435,0.10009215686274488,0.09356176470588144,0.053568627450980455,False
4.0_high,2.0_high,100,100,-0.030510784313724525,0.055922549019608754,0.08643333333333328,0.012392156862745418,True
3.0_high,2.0_high,200,200,-0.06179901960784358,0.0097093137254897,0.07150833333333328,-0.02603921568627454,True
