group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
Male,Female,400,400,1.0,0.79,0.52,,,,-0.002572543081917407,0.025666618272454384,0.012200104429883951
Male,Female,600,600,1.5,0.74,0.34,,,,-0.004431393293524263,0.018263419372703562,0.0070629607320789045
Male,Female,800,800,2.0,0.7,0.21,,,,-0.0036164651805510213,0.01580373965801271,0.0059130205986820394
Male,Female,1000,1000,2.5,0.65,0.11,,,,-0.006445895299554192,0.010165708858134594,0.0022178901980365318
Male,Female,1200,1200,3.0,0.6,0.07,,,,-0.007647196910527079,0.008181172284616312,0.00017732532989700456
Male,Female,1400,1400,3.5,0.51,0.04,,,,-0.006447882662683761,0.008028740161561191,0.0005788086213475152
Male,Female,1600,1600,4.0,0.5,0.05,,,,-0.005740924396789665,0.006871673331513672,0.00038508024858763257
Male,Female,1800,1800,4.5,0.49,0.01,,,,-0.007526159077176548,0.004863125145319288,-0.0013051957120626678
Male,Female,2000,2000,5.0,0.45,0.01,,,,-0.005680703483611939,0.006094153038542954,2.17953206884669e-05
